"","id_no","binomial"
"1",14953,"Nyctimene rabori"
"7",136195,"Rhipidomys emiliae"
"8",18118,"Praomys morio"
"10",11378,"Lavia frons"
"11",14528,"Pseudohydromys fuscus"
"12",136686,"Bdeogale omnivora"
"13",15967,"Pantholops hodgsonii"
"14",9131,"Gerbillus juliani"
"15",12125,"Lissodelphis borealis"
"17",10132,"Hipposideros dyacorum"
"19",15642,"Otocyon megalotis"
"21",42466,"Spermophilus columbianus"
"22",42584,"Tamias townsendii"
"23",44785,"Rhinolophus sakejiensis"
"24",14149,"Myotis bombinus"
"39",9418,"Gracilinanus dryas"
"42",19532,"Rhinolophus coelophyllus"
"44",45057,"Lophuromys chrysopus"
"46",10329,"Hydropotes inermis"
"48",9481,"Graphiurus crassicaudatus"
"52",11980,"Limnomys sibuanus"
"56",136308,"Ctenomys coludo"
"57",14821,"Niviventer hinpoon"
"58",13144,"Menetes berdmorei"
"60",11202,"Lamottemys okuensis"
"61",21471,"Tapirus bairdii"
"82",136656,"Sorex mediopua"
"83",14168,"Myotis ikonnikovi"
"104",18552,"Pseudomys novaehollandiae"
"115",41342,"Crocidura nanilla"
"118",19593,"Rhinophylla pumilio"
"119",22042,"Trachypithecus vetulus"
"123",136503,"Plecotus sardus"
"124",15548,"Orthogeomys heterodus"
"127",20424,"Sousa chinensis"
"129",15660,"Otomys tropicalis"
"136",29670,"Sorex volnuchini"
"138",2860,"Necromys obscurus"
"141",2997,"Brachyuromys betsileoensis"
"142",5600,"Crocidura floweri"
"143",136252,"Calomyscus grandis"
"144",20487,"Spermophilus mexicanus"
"146",42399,"Ammospermophilus harrisii"
"147",42604,"Dipodomys panamintinus"
"151",44784,"Rhinolophus ruwenzorii"
"152",13930,"Murexia longicaudata"
"161",44922,"Neoromicia melckorum"
"165",4693,"Chiruromys vates"
"166",1151,"Ammotragus lervia"
"200",39950,"Cebus albifrons"
"208",20214,"Sigmodon inopinatus"
"209",40644,"Saguinus bicolor"
"210",41353,"Crocidura pullata"
"212",7580,"Eligmodontia typus"
"213",14956,"Nyctimene draconilla"
"217",11490,"Lemniscomys hoogstraali"
"218",14206,"Myotis thysanodes"
"219",750,"Thaptomys nigrita"
"220",2998,"Brachyuromys ramirohitra"
"221",41656,"Mustela itatsi"
"226",41661,"Neovison vison"
"229",15252,"Oligoryzomys microtis"
"230",45059,"Lophuromys huttereri"
"231",41484,"Talpa romana"
"232",40573,"Thylogale thetis"
"235",136664,"Plecotus sacrimontis"
"243",13963,"Mus haussa"
"245",16716,"Petaurillus kinlochii"
"246",2861,"Necromys punctulatus"
"248",42679,"Petrodromus tetradactylus"
"253",136314,"Rhogeessa io"
"256",14156,"Myotis elegans"
"257",15787,"Brucepattersonius iheringi"
"258",19419,"Reithrodontomys zacatecae"
"259",20393,"Sorex oreopolus"
"261",10280,"Hybomys lunaris"
"262",41693,"Paradoxurus hermaphroditus"
"320",42653,"Peromyscus gossypinus"
"321",41569,"Pithecia pithecia"
"323",279,"Aconaemys sagei"
