"","species_ID","species_name"
"1",14953,"Nyctimene rabori"
"7",136195,"Rhipidomys emiliae"
"8",18118,"Praomys morio"
"10",11378,"Lavia frons"
"11",14528,"Pseudohydromys fuscus"
"12",136686,"Bdeogale omnivora"
"13",15967,"Pantholops hodgsonii"
"14",9131,"Gerbillus juliani"
"15",10132,"Hipposideros dyacorum"
"17",15642,"Otocyon megalotis"
"19",42466,"Spermophilus columbianus"
"20",42584,"Tamias townsendii"
"21",44785,"Rhinolophus sakejiensis"
"22",14149,"Myotis bombinus"
"37",9418,"Gracilinanus dryas"
"40",19532,"Rhinolophus coelophyllus"
"42",45057,"Lophuromys chrysopus"
"44",10329,"Hydropotes inermis"
"46",9481,"Graphiurus crassicaudatus"
"50",11980,"Limnomys sibuanus"
"54",136308,"Ctenomys coludo"
"55",14821,"Niviventer hinpoon"
"56",13144,"Menetes berdmorei"
"58",11202,"Lamottemys okuensis"
"59",21471,"Tapirus bairdii"
"80",136656,"Sorex mediopua"
"81",14168,"Myotis ikonnikovi"
"102",18552,"Pseudomys novaehollandiae"
"113",41342,"Crocidura nanilla"
"116",19593,"Rhinophylla pumilio"
"117",22042,"Trachypithecus vetulus"
"121",136503,"Plecotus sardus"
"122",15548,"Orthogeomys heterodus"
"125",15660,"Otomys tropicalis"
"132",29670,"Sorex volnuchini"
"134",2860,"Necromys obscurus"
"137",2997,"Brachyuromys betsileoensis"
"138",5600,"Crocidura floweri"
"139",136252,"Calomyscus grandis"
"140",20487,"Spermophilus mexicanus"
"142",42399,"Ammospermophilus harrisii"
"143",42604,"Dipodomys panamintinus"
"147",44784,"Rhinolophus ruwenzorii"
"148",13930,"Murexia longicaudata"
"157",44922,"Neoromicia melckorum"
"161",4693,"Chiruromys vates"
"162",1151,"Ammotragus lervia"
"196",39950,"Cebus albifrons"
"204",20214,"Sigmodon inopinatus"
"205",40644,"Saguinus bicolor"
"206",41353,"Crocidura pullata"
"208",7580,"Eligmodontia typus"
"209",14956,"Nyctimene draconilla"
"213",11490,"Lemniscomys hoogstraali"
"214",14206,"Myotis thysanodes"
"215",750,"Thaptomys nigrita"
"216",2998,"Brachyuromys ramirohitra"
"217",41656,"Mustela itatsi"
"222",41661,"Neovison vison"
"225",15252,"Oligoryzomys microtis"
"226",45059,"Lophuromys huttereri"
"227",41484,"Talpa romana"
"228",40573,"Thylogale thetis"
"231",136664,"Plecotus sacrimontis"
"239",13963,"Mus haussa"
"241",16716,"Petaurillus kinlochii"
"242",2861,"Necromys punctulatus"
"244",42679,"Petrodromus tetradactylus"
"249",136314,"Rhogeessa io"
"252",14156,"Myotis elegans"
"253",15787,"Brucepattersonius iheringi"
"254",19419,"Reithrodontomys zacatecae"
"255",20393,"Sorex oreopolus"
"257",10280,"Hybomys lunaris"
"258",41693,"Paradoxurus hermaphroditus"
"316",42653,"Peromyscus gossypinus"
"317",41569,"Pithecia pithecia"
"319",279,"Aconaemys sagei"
"320",13522,"Millardia gleadowi"
"323",40606,"Paraechinus aethiopicus"
